0,16300,0,2000,0,10900,, heap Sort Time(already sorted), time shuffled, time reversed
100,204500,100,177900,100,74500,, heap Sort Time(already sorted), time shuffled, time reversed
200,111100,200,106000,200,94100,, heap Sort Time(already sorted), time shuffled, time reversed
300,290000,300,204700,300,218400,, heap Sort Time(already sorted), time shuffled, time reversed
400,233000,400,263700,400,221300,, heap Sort Time(already sorted), time shuffled, time reversed
500,332100,500,321500,500,318500,, heap Sort Time(already sorted), time shuffled, time reversed
600,429800,600,444200,600,331400,, heap Sort Time(already sorted), time shuffled, time reversed
700,410700,700,766300,700,301200,, heap Sort Time(already sorted), time shuffled, time reversed
800,349500,800,377500,800,378900,, heap Sort Time(already sorted), time shuffled, time reversed
900,603700,900,229800,900,151900,, heap Sort Time(already sorted), time shuffled, time reversed
1000,191000,1000,234500,1000,179200,, heap Sort Time(already sorted), time shuffled, time reversed
1100,186900,1100,227800,1100,187100,, heap Sort Time(already sorted), time shuffled, time reversed
1200,234600,1200,283500,1200,196900,, heap Sort Time(already sorted), time shuffled, time reversed
1300,240500,1300,283600,1300,221900,, heap Sort Time(already sorted), time shuffled, time reversed
1400,238300,1400,300000,1400,263600,, heap Sort Time(already sorted), time shuffled, time reversed
1500,278200,1500,328900,1500,264600,, heap Sort Time(already sorted), time shuffled, time reversed
1600,287400,1600,358100,1600,283700,, heap Sort Time(already sorted), time shuffled, time reversed
1700,342500,1700,532100,1700,255000,, heap Sort Time(already sorted), time shuffled, time reversed
1800,278000,1800,363400,1800,239600,, heap Sort Time(already sorted), time shuffled, time reversed
1900,270700,1900,359200,1900,253200,, heap Sort Time(already sorted), time shuffled, time reversed
2000,274600,2000,376400,2000,271600,, heap Sort Time(already sorted), time shuffled, time reversed
2100,286700,2100,381600,2100,383100,, heap Sort Time(already sorted), time shuffled, time reversed
2200,472700,2200,586200,2200,296400,, heap Sort Time(already sorted), time shuffled, time reversed
2300,325300,2300,566100,2300,330100,, heap Sort Time(already sorted), time shuffled, time reversed
2400,334500,2400,455500,2400,313300,, heap Sort Time(already sorted), time shuffled, time reversed
2500,333800,2500,455700,2500,331700,, heap Sort Time(already sorted), time shuffled, time reversed
2600,359400,2600,483400,2600,349400,, heap Sort Time(already sorted), time shuffled, time reversed
2700,366500,2700,486100,2700,402000,, heap Sort Time(already sorted), time shuffled, time reversed
2800,568600,2800,573500,2800,375600,, heap Sort Time(already sorted), time shuffled, time reversed
2900,431800,2900,576900,2900,415300,, heap Sort Time(already sorted), time shuffled, time reversed
3000,443800,3000,590500,3000,427400,, heap Sort Time(already sorted), time shuffled, time reversed
3100,599400,3100,802200,3100,576800,, heap Sort Time(already sorted), time shuffled, time reversed
3200,618800,3200,1176000,3200,860300,, heap Sort Time(already sorted), time shuffled, time reversed
3300,991900,3300,1048400,3300,753100,, heap Sort Time(already sorted), time shuffled, time reversed
3400,796500,3400,763400,3400,548100,, heap Sort Time(already sorted), time shuffled, time reversed
3500,573300,3500,930600,3500,501100,, heap Sort Time(already sorted), time shuffled, time reversed
3600,522700,3600,739400,3600,522400,, heap Sort Time(already sorted), time shuffled, time reversed
3700,571300,3700,746400,3700,520700,, heap Sort Time(already sorted), time shuffled, time reversed
3800,875300,3800,2090200,3800,1247900,, heap Sort Time(already sorted), time shuffled, time reversed
3900,919300,3900,867500,3900,615300,, heap Sort Time(already sorted), time shuffled, time reversed
4000,1001000,4000,1146500,4000,900400,, heap Sort Time(already sorted), time shuffled, time reversed
4100,956400,4100,1291500,4100,868700,, heap Sort Time(already sorted), time shuffled, time reversed
4200,715200,4200,1210900,4200,680500,, heap Sort Time(already sorted), time shuffled, time reversed
4300,737800,4300,1441600,4300,869300,, heap Sort Time(already sorted), time shuffled, time reversed
4400,886000,4400,1228600,4400,1360600,, heap Sort Time(already sorted), time shuffled, time reversed
4500,1019700,4500,1355300,4500,728300,, heap Sort Time(already sorted), time shuffled, time reversed
4600,755500,4600,1054600,4600,678900,, heap Sort Time(already sorted), time shuffled, time reversed
4700,827200,4700,1063200,4700,712300,, heap Sort Time(already sorted), time shuffled, time reversed
4800,758400,4800,1071000,4800,729300,, heap Sort Time(already sorted), time shuffled, time reversed
4900,774500,4900,1072200,4900,775500,, heap Sort Time(already sorted), time shuffled, time reversed
5000,803200,5000,2387700,5000,797000,, heap Sort Time(already sorted), time shuffled, time reversed
5100,1171800,5100,1230100,5100,1358100,, heap Sort Time(already sorted), time shuffled, time reversed
5200,1717800,5200,2184900,5200,1477000,, heap Sort Time(already sorted), time shuffled, time reversed
5300,1271500,5300,1575500,5300,845100,, heap Sort Time(already sorted), time shuffled, time reversed
5400,893200,5400,1239100,5400,887400,, heap Sort Time(already sorted), time shuffled, time reversed
5500,926900,5500,1234300,5500,913000,, heap Sort Time(already sorted), time shuffled, time reversed
5600,928300,5600,1266300,5600,880600,, heap Sort Time(already sorted), time shuffled, time reversed
5700,931300,5700,1485600,5700,982400,, heap Sort Time(already sorted), time shuffled, time reversed
5800,954500,5800,1295700,5800,956600,, heap Sort Time(already sorted), time shuffled, time reversed
5900,955400,5900,1334900,5900,1008500,, heap Sort Time(already sorted), time shuffled, time reversed
6000,1465000,6000,1664900,6000,1021900,, heap Sort Time(already sorted), time shuffled, time reversed
6100,1073600,6100,1469100,6100,984800,, heap Sort Time(already sorted), time shuffled, time reversed
6200,1118300,6200,1481600,6200,1032600,, heap Sort Time(already sorted), time shuffled, time reversed
6300,1035800,6300,1429400,6300,1027900,, heap Sort Time(already sorted), time shuffled, time reversed
6400,1101500,6400,1473800,6400,1045200,, heap Sort Time(already sorted), time shuffled, time reversed
6500,1130500,6500,1580700,6500,1062200,, heap Sort Time(already sorted), time shuffled, time reversed
6600,1122100,6600,1520200,6600,1111400,, heap Sort Time(already sorted), time shuffled, time reversed
6700,1319400,6700,1621400,6700,1127100,, heap Sort Time(already sorted), time shuffled, time reversed
6800,1160500,6800,1580300,6800,1112300,, heap Sort Time(already sorted), time shuffled, time reversed
6900,1213100,6900,1656600,6900,1158000,, heap Sort Time(already sorted), time shuffled, time reversed
7000,1215800,7000,1715900,7000,1409000,, heap Sort Time(already sorted), time shuffled, time reversed
7100,1676900,7100,2145700,7100,1619500,, heap Sort Time(already sorted), time shuffled, time reversed
7200,1387200,7200,1945800,7200,1347300,, heap Sort Time(already sorted), time shuffled, time reversed
7300,1360600,7300,2028000,7300,1360900,, heap Sort Time(already sorted), time shuffled, time reversed
7400,1265200,7400,1807600,7400,1339200,, heap Sort Time(already sorted), time shuffled, time reversed
7500,1302100,7500,1802100,7500,1374300,, heap Sort Time(already sorted), time shuffled, time reversed
7600,1310500,7600,1846500,7600,1273200,, heap Sort Time(already sorted), time shuffled, time reversed
7700,1337200,7700,1823900,7700,1263100,, heap Sort Time(already sorted), time shuffled, time reversed
7800,1538900,7800,1941500,7800,1332800,, heap Sort Time(already sorted), time shuffled, time reversed
7900,1395500,7900,1950100,7900,1328200,, heap Sort Time(already sorted), time shuffled, time reversed
8000,1395700,8000,2006300,8000,1394900,, heap Sort Time(already sorted), time shuffled, time reversed
8100,1399100,8100,1932400,8100,1359900,, heap Sort Time(already sorted), time shuffled, time reversed
8200,1399400,8200,2018400,8200,1536100,, heap Sort Time(already sorted), time shuffled, time reversed
8300,1458100,8300,2063000,8300,1417900,, heap Sort Time(already sorted), time shuffled, time reversed
8400,1454700,8400,2081400,8400,2445000,, heap Sort Time(already sorted), time shuffled, time reversed
8500,1752700,8500,2094100,8500,1456500,, heap Sort Time(already sorted), time shuffled, time reversed
8600,1685500,8600,2206400,8600,1574000,, heap Sort Time(already sorted), time shuffled, time reversed
8700,1519500,8700,2184500,8700,1458700,, heap Sort Time(already sorted), time shuffled, time reversed
8800,1565400,8800,2208000,8800,1573400,, heap Sort Time(already sorted), time shuffled, time reversed
8900,1528200,8900,2218200,8900,1514100,, heap Sort Time(already sorted), time shuffled, time reversed
9000,1585300,9000,2300100,9000,1555800,, heap Sort Time(already sorted), time shuffled, time reversed
9100,1700400,9100,2283200,9100,1581600,, heap Sort Time(already sorted), time shuffled, time reversed
9200,1585600,9200,2287400,9200,1576100,, heap Sort Time(already sorted), time shuffled, time reversed
9300,1728900,9300,2352800,9300,1580800,, heap Sort Time(already sorted), time shuffled, time reversed
9400,1693700,9400,2413700,9400,1613900,, heap Sort Time(already sorted), time shuffled, time reversed
9500,1766400,9500,2441300,9500,1643900,, heap Sort Time(already sorted), time shuffled, time reversed
9600,1737600,9600,2476100,9600,1650900,, heap Sort Time(already sorted), time shuffled, time reversed
9700,1773100,9700,2604600,9700,1738000,, heap Sort Time(already sorted), time shuffled, time reversed
9800,1723300,9800,2620800,9800,1735000,, heap Sort Time(already sorted), time shuffled, time reversed
9900,1830000,9900,2768500,9900,1782000,, heap Sort Time(already sorted), time shuffled, time reversed
10000,2003500,10000,2669700,10000,2248700,, heap Sort Time(already sorted), time shuffled, time reversed
10100,1854500,10100,2689200,10100,1771600,, heap Sort Time(already sorted), time shuffled, time reversed
10200,2154400,10200,3782400,10200,3270200,, heap Sort Time(already sorted), time shuffled, time reversed
10300,2689800,10300,3509900,10300,2013900,, heap Sort Time(already sorted), time shuffled, time reversed
10400,1981000,10400,2718900,10400,1842900,, heap Sort Time(already sorted), time shuffled, time reversed
10500,1904900,10500,2718400,10500,1839000,, heap Sort Time(already sorted), time shuffled, time reversed
10600,1942100,10600,5729000,10600,2020400,, heap Sort Time(already sorted), time shuffled, time reversed
10700,3341000,10700,3023800,10700,1979200,, heap Sort Time(already sorted), time shuffled, time reversed
10800,1999700,10800,2942300,10800,1918400,, heap Sort Time(already sorted), time shuffled, time reversed
10900,2088000,10900,2952800,10900,1931300,, heap Sort Time(already sorted), time shuffled, time reversed
11000,2049700,11000,3009600,11000,1962300,, heap Sort Time(already sorted), time shuffled, time reversed
11100,1992900,11100,3128300,11100,1964500,, heap Sort Time(already sorted), time shuffled, time reversed
11200,2069400,11200,3107000,11200,1999700,, heap Sort Time(already sorted), time shuffled, time reversed
11300,2145600,11300,3045800,11300,2006900,, heap Sort Time(already sorted), time shuffled, time reversed
11400,2169700,11400,3125600,11400,2462300,, heap Sort Time(already sorted), time shuffled, time reversed
11500,4512400,11500,6214300,11500,2088000,, heap Sort Time(already sorted), time shuffled, time reversed
11600,2257500,11600,3120100,11600,2080300,, heap Sort Time(already sorted), time shuffled, time reversed
11700,2221400,11700,3162800,11700,2137800,, heap Sort Time(already sorted), time shuffled, time reversed
11800,2167200,11800,3105100,11800,2072400,, heap Sort Time(already sorted), time shuffled, time reversed
11900,2398800,11900,3242600,11900,2208300,, heap Sort Time(already sorted), time shuffled, time reversed
12000,3346800,12000,3474800,12000,2278800,, heap Sort Time(already sorted), time shuffled, time reversed
12100,2213300,12100,3236700,12100,2193900,, heap Sort Time(already sorted), time shuffled, time reversed
12200,2147800,12200,3280700,12200,2343000,, heap Sort Time(already sorted), time shuffled, time reversed
12300,2222900,12300,3416400,12300,2263100,, heap Sort Time(already sorted), time shuffled, time reversed
12400,2351400,12400,3576800,12400,2221800,, heap Sort Time(already sorted), time shuffled, time reversed
12500,2398500,12500,3459900,12500,2256400,, heap Sort Time(already sorted), time shuffled, time reversed
12600,3362300,12600,3412800,12600,2362500,, heap Sort Time(already sorted), time shuffled, time reversed
12700,2355500,12700,3811300,12700,2548300,, heap Sort Time(already sorted), time shuffled, time reversed
