0,2900,0,2,0,1500,0,2,0,2900,0,2,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
100,20800,100,2,100,669200,100,88,100,670900,100,102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
200,17600,200,2,200,1821200,200,188,200,2390500,200,202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
300,29100,300,2,300,2788600,300,290,300,1012100,300,302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
400,9900,400,2,400,1784900,400,396,400,3166100,400,402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
500,16200,500,2,500,1043600,500,490,500,1363600,500,502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
600,4900,600,2,600,1123900,600,596,600,1056100,600,602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
700,2900,700,2,700,1473200,700,684,700,1427500,700,702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
800,3600,800,2,800,2085000,800,750,800,2008600,800,802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
900,4000,900,2,900,2501600,900,882,900,2535700,900,902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1000,5600,1000,2,1000,3163800,1000,992,1000,3100100,1000,1002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1100,7400,1100,2,1100,3798600,1100,1060,1100,3722900,1100,1102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1200,9200,1200,2,1200,4498500,1200,1174,1200,4439500,1200,1202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1300,10800,1300,2,1300,6042900,1300,1268,1300,5217300,1300,1302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1400,13000,1400,2,1400,7926700,1400,1364,1400,11675400,1400,1402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1500,38400,1500,2,1500,23707700,1500,1454,1500,8265000,1500,1502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1600,17100,1600,2,1600,16268200,1600,1578,1600,9707700,1600,1602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1700,18700,1700,2,1700,17209400,1700,1674,1700,12631800,1700,1702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1800,20700,1800,2,1800,17049700,1800,1738,1800,17141900,1800,1802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1900,24200,1900,2,1900,20881500,1900,1860,1900,30181900,1900,1902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2000,57500,2000,2,2000,31034400,2000,2000,2000,21787200,2000,2002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2100,29900,2100,2,2100,31309500,2100,2080,2100,23751400,2100,2102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2200,28000,2200,2,2200,35041700,2200,2182,2200,27811800,2200,2202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2300,34100,2300,2,2300,43638500,2300,2288,2300,34255700,2300,2302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2400,32400,2400,2,2400,47712300,2400,2346,2400,35023500,2400,2402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2500,36600,2500,2,2500,59987200,2500,2466,2500,37349900,2500,2502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2600,44800,2600,2,2600,52661900,2600,2586,2600,44079000,2600,2602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2700,37500,2700,2,2700,56776000,2700,2664,2700,46855500,2700,2702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2800,49500,2800,2,2800,61310000,2800,2736,2800,50724100,2800,2802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
2900,50000,2900,2,2900,66300100,2900,2868,2900,60336300,2900,2902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3000,45500,3000,2,3000,69204300,3000,2948,3000,58386200,3000,3002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3100,47000,3100,2,3100,72638000,3100,3064,3100,65816800,3100,3102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3200,62900,3200,2,3200,79182900,3200,3170,3200,67732900,3200,3202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3300,50200,3300,2,3300,83498500,3300,3236,3300,89213300,3300,3302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3400,71000,3400,2,3400,93106400,3400,3394,3400,78413400,3400,3402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3500,52100,3500,2,3500,96326700,3500,3458,3500,95316800,3500,3502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3600,56100,3600,2,3600,103632200,3600,3584,3600,89594900,3600,3602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3700,56400,3700,2,3700,109859000,3700,3644,3700,93863200,3700,3702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3800,56900,3800,2,3800,112054700,3800,3724,3800,99879400,3800,3802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3900,61900,3900,2,3900,119615000,3900,3866,3900,107751100,3900,3902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4000,65100,4000,2,4000,129219000,4000,3994,4000,111873200,4000,4002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4100,62900,4100,2,4100,137108000,4100,4068,4100,119715500,4100,4102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4200,62600,4200,2,4200,149014600,4200,4168,4200,139628200,4200,4202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4300,75800,4300,2,4300,156723500,4300,4232,4300,130323700,4300,4302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4400,66500,4400,2,4400,188245700,4400,4322,4400,145480500,4400,4402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4500,79500,4500,2,4500,171295100,4500,4494,4500,153138800,4500,4502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4600,68600,4600,2,4600,176571400,4600,4584,4600,156026300,4600,4602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4700,74200,4700,2,4700,187922600,4700,4648,4700,161561600,4700,4702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4800,87300,4800,2,4800,191514000,4800,4764,4800,165570800,4800,4802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4900,80700,4900,2,4900,211128700,4900,4846,4900,178910800,4900,4902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5000,80500,5000,2,5000,217256400,5000,4966,5000,184123400,5000,5002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5100,98100,5100,2,5100,219361300,5100,5092,5100,192270800,5100,5102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5200,80200,5200,2,5200,225233400,5200,5096,5200,229977900,5200,5202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5300,84200,5300,2,5300,234707800,5300,5198,5300,211635400,5300,5302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5400,87800,5400,2,5400,254757400,5400,5368,5400,220609300,5400,5402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5500,88600,5500,2,5500,268652600,5500,5362,5500,247321600,5500,5502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5600,106200,5600,2,5600,277162700,5600,5508,5600,252819500,5600,5602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5700,94100,5700,2,5700,293262500,5700,5646,5700,271057100,5700,5702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5800,102300,5800,2,5800,299142800,5800,5596,5800,256352600,5800,5802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5900,110700,5900,2,5900,328422100,5900,5858,5900,264734600,5900,5902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6000,104800,6000,2,6000,304409100,6000,5972,6000,266547800,6000,6002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6100,101400,6100,2,6100,315481400,6100,6024,6100,277182500,6100,6102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6200,105900,6200,2,6200,335026900,6200,6196,6200,286643300,6200,6202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6300,107300,6300,2,6300,342955400,6300,6282,6300,300872900,6300,6302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6400,107700,6400,2,6400,345736000,6400,6292,6400,313972700,6400,6402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6500,114400,6500,2,6500,396518700,6500,6490,6500,338548300,6500,6502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6600,106400,6600,2,6600,375394200,6600,6522,6600,332631900,6600,6602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6700,130300,6700,2,6700,383774300,6700,6656,6700,340260800,6700,6702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6800,118700,6800,2,6800,395921200,6800,6734,6800,350788400,6800,6802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6900,128700,6900,2,6900,411324500,6900,6824,6900,389421600,6900,6902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7000,112400,7000,2,7000,426908600,7000,6954,7000,404115300,7000,7002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7100,120600,7100,2,7100,437851900,7100,6974,7100,386714100,7100,7102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7200,133300,7200,2,7200,447077900,7200,7106,7200,430465100,7200,7202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7300,147400,7300,2,7300,474172000,7300,7220,7300,434065800,7300,7302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7400,143600,7400,2,7400,508274400,7400,7332,7400,443730900,7400,7402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7500,134500,7500,2,7500,524123600,7500,7398,7500,450320900,7500,7502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7600,171300,7600,2,7600,562692100,7600,7476,7600,485454100,7600,7602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7700,131600,7700,2,7700,559969200,7700,7602,7700,501684000,7700,7702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7800,123400,7800,2,7800,533867600,7800,7754,7800,470632700,7800,7802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7900,126900,7900,2,7900,544922000,7900,7796,7900,481298100,7900,7902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8000,129500,8000,2,8000,563690800,8000,7890,8000,507405200,8000,8002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8100,139900,8100,2,8100,608988300,8100,8024,8100,526961300,8100,8102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8200,147100,8200,2,8200,595612100,8200,8076,8200,532113500,8200,8202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8300,145700,8300,2,8300,607252400,8300,8248,8300,539868400,8300,8302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8400,140400,8400,2,8400,616179800,8400,8288,8400,548928900,8400,8402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8500,139600,8500,2,8500,634744300,8500,8474,8500,596249200,8500,8502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8600,149500,8600,2,8600,657750400,8600,8578,8600,605674700,8600,8602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8700,164400,8700,2,8700,700872900,8700,8674,8700,622614100,8700,8702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8800,431200,8800,2,8800,691043000,8800,8706,8800,605185500,8800,8802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8900,231400,8900,2,8900,697077200,8900,8698,8900,635628300,8900,8902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9000,155800,9000,2,9000,724936800,9000,8978,9000,654136100,9000,9002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9100,157900,9100,2,9100,731540700,9100,8914,9100,658721700,9100,9102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9200,168300,9200,2,9200,756716100,9200,9196,9200,677214600,9200,9202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9300,154300,9300,2,9300,811766700,9300,9144,9300,689582700,9300,9302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9400,162200,9400,2,9400,831577100,9400,9366,9400,707384300,9400,9402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9500,162400,9500,2,9500,819152000,9500,9382,9500,711250100,9500,9502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9600,162600,9600,2,9600,818613000,9600,9564,9600,724587800,9600,9602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9700,166300,9700,2,9700,830854700,9700,9602,9700,770744700,9700,9702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9800,162200,9800,2,9800,846082800,9800,9740,9800,771306600,9800,9802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9900,201900,9900,2,9900,976311100,9900,9868,9900,776637800,9900,9902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10000,174000,10000,2,10000,931872000,10000,9968,10000,806349000,10000,10002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10100,195600,10100,2,10100,916012300,10100,10020,10100,812670100,10100,10102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10200,240600,10200,2,10200,932282200,10200,10088,10200,839831100,10200,10202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10300,189200,10300,2,10300,1166662100,10300,10224,10300,850321700,10300,10302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10400,189100,10400,2,10400,960305100,10400,10362,10400,887049600,10400,10402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10500,198400,10500,2,10500,1041085300,10500,10394,10500,902784100,10500,10502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10600,188500,10600,2,10600,1022011300,10600,10556,10600,904673000,10600,10602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10700,186800,10700,2,10700,1018965100,10700,10576,10700,944391300,10700,10702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10800,215300,10800,2,10800,1110779900,10800,10782,10800,972501800,10800,10802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10900,197300,10900,2,10900,1092769900,10900,10792,10900,951775800,10900,10902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11000,183300,11000,2,11000,1112526400,11000,10834,11000,964299500,11000,11002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11100,277900,11100,2,11100,1130505400,11100,10934,11100,1011428500,11100,11102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11200,203600,11200,2,11200,1230346500,11200,11062,11200,1025330300,11200,11202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11300,211100,11300,2,11300,1224427100,11300,11156,11300,1061676200,11300,11302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11400,223700,11400,2,11400,1209618000,11400,11306,11400,1055536700,11400,11402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11500,197200,11500,2,11500,1199455600,11500,11426,11500,1062047000,11500,11502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11600,219600,11600,2,11600,1207297400,11600,11460,11600,1103336500,11600,11602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11700,295700,11700,2,11700,1243707300,11700,11568,11700,1118697700,11700,11702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11800,208700,11800,2,11800,1250494000,11800,11660,11800,1130065000,11800,11802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
11900,220500,11900,2,11900,1294499500,11900,11828,11900,1137714400,11900,11902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12000,394500,12000,2,12000,1328639600,12000,11890,12000,1158778900,12000,12002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12100,228100,12100,2,12100,1353661100,12100,12028,12100,1216914500,12100,12102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12200,211400,12200,2,12200,1316457000,12200,12092,12200,1222034800,12200,12202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12300,225600,12300,2,12300,1372574600,12300,12210,12300,1220269700,12300,12302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12400,226600,12400,2,12400,1430083600,12400,12362,12400,1306770500,12400,12402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12500,247200,12500,2,12500,1421187000,12500,12462,12500,1270652800,12500,12502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12600,228500,12600,2,12600,1447546700,12600,12468,12600,1295719400,12600,12602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
12700,246500,12700,2,12700,1587755100,12700,12538,12700,1320392700,12700,12702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
